Transaction date,Buy or sell,Ticker,Ticker name,Amount of shares
2020-04-15,BUY,TDOC,,67.0
2020-04-16,SELL,GOTU,,313.0
2020-04-16,BUY,FIT,,1617.0
2020-04-17,BUY,CCOI,,120.0
2020-04-20,BUY,ZM,,71.0
2020-04-21,BUY,CODX,,767.0
2020-04-22,BUY,AXSM,,162.0
2020-04-23,BUY,EVBG,,91.0
2020-04-24,BUY,EHTH,,90.0
2020-04-27,BUY,SE,,200.0
2020-04-28,BUY,DXCM,,33.0
2020-04-29,BUY,XLRN,,114.0
2020-04-30,BUY,QDEL,,79.0
2020-05-01,BUY,VXRT,,3806.0
2020-05-04,BUY,AUPH,,686.0
2020-05-05,BUY,CCXI1,,199.0
2020-05-06,BUY,MRNA,,229.0
2020-05-07,BUY,ARVN,,212.0
2020-05-08,BUY,LMNX1,,141.0
2020-05-28,SELL,MRNA,,229.0
2020-05-29,BUY,ZTO,,370.0
2020-06-01,SELL,ARVN,,212.0
2020-06-08,SELL,CODX,,767.0
2020-06-29,SELL,EHTH,,90.0
2020-06-29,BUY,NVAX,,163.0
2020-07-01,BUY,FVRR,,182.0
2020-07-09,BUY,DOCU,,5.0
2020-07-28,SELL,VXRT,,3806.0
2020-07-30,BUY,WKHS,,944.0
2020-08-13,SELL,NVAX,,163.0
2020-08-27,BUY,LVGO,,112.0
2020-08-28,SELL,QDEL,,79.0
2020-08-28,SELL,LMNX1,,141.0
2020-09-08,SELL,AXSM,,162.0
2020-09-15,BUY,APPS,,587.0
2020-09-21,SELL,CCOI,,120.0
2020-09-30,BUY,AGNT,,379.0
2020-10-01,BUY,RUN,,199.0
2020-10-08,BUY,SAIL1,,356.0
2020-10-21,SELL,WKHS,,944.0
2020-10-21,BUY,ALTO,,1579.0
2020-10-22,SELL,AUPH,,686.0
2020-10-23,SELL,CCXI1,,199.0
2020-10-27,SELL,AGNT,,379.0
2020-10-28,SELL,ALTO,,1579.0
2020-10-28,SELL,RUN,,199.0
2020-10-29,SELL,EVBG,,91.0
2020-11-02,SELL,APPS,,587.0
2020-11-03,SELL,DXCM,,33.0
2020-11-11,SELL,ZM,,71.0
2020-11-11,SELL,TDOC,,67.0
